United States Power Source,Energy Production (Thousand Megawatthours)
Conventional Hydroelectric,30422.0
Other Renewables,30069.0
Wind,20124.0
All Utility-Scale Solar,6052.0
Utility-Scale Photovoltaic,5587.0
Utility-Scale Thermal,465.0
Geothermal,1284.0
Biomass,2609.0
Hydro-Electric Pumped Storage,-568.0
Other,594.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6052.0
Utility-Scale Photovoltaic,5587.0
Utility-Scale Thermal,465.0
All Fuels (Utility-Scale),390294.0
Coal,127019.0
Petroleum Liquids,879.0
Petroleum Coke,811.0
Natural Gas,137826.0
Other Gases,369.0
Nuclear,71314.0
Conventional Hydroelectric,26460.0
Other Renewables,25753.0
Wind,16108.0
All Utility-Scale Solar,5509.0
Utility-Scale Photovoltaic,5198.0
Utility-Scale Thermal,311.0
Geothermal,1373.0
Biomass,2763.0
Hydro-Electric Pumped Storage,-759.0
Other,622.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5509.0
Utility-Scale Photovoltaic,5198.0
Utility-Scale Thermal,311.0
All Fuels (Utility-Scale),370794.0
Coal,118810.0
Petroleum Liquids,928.0
Petroleum Coke,681.0
Natural Gas,132376.0
Other Gases,359.0
Nuclear,72384.0
Conventional Hydroelectric,21924.0
Other Renewables,23338.0
Wind,13869.0
All Utility-Scale Solar,5311.0
Utility-Scale Photovoltaic,4970.0
Utility-Scale Thermal,341.0
Geothermal,1363.0
Biomass,2795.0
Hydro-Electric Pumped Storage,-638.0
Other,634.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5311.0
Utility-Scale Photovoltaic,4970.0
Utility-Scale Thermal,341.0
All Fuels (Utility-Scale),323472.0
Coal,97560.0
Petroleum Liquids,890.0
Petroleum Coke,659.0
Natural Gas,110156.0
Other Gases,345.0
Nuclear,68098.0
Conventional Hydroelectric,19063.0
Other Renewables,26750.0
Wind,17896.0
All Utility-Scale Solar,5007.0
Utility-Scale Photovoltaic,4657.0
Utility-Scale Thermal,349.0
Geothermal,1332.0
Biomass,2516.0
Hydro-Electric Pumped Storage,-606.0
Other,556.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5007.0
Utility-Scale Photovoltaic,4657.0
Utility-Scale Thermal,349.0
All Fuels (Utility-Scale),306085.0
Coal,89114.0
Petroleum Liquids,929.0
Petroleum Coke,515.0
Natural Gas,98800.0
Other Gases,327.0
Nuclear,65995.0
Conventional Hydroelectric,17606.0
Other Renewables,32696.0
Wind,24346.0
All Utility-Scale Solar,4606.0
Utility-Scale Photovoltaic,4292.0
Utility-Scale Thermal,314.0
Geothermal,1214.0
Biomass,2530.0
Hydro-Electric Pumped Storage,-463.0
Other,566.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4606.0
Utility-Scale Photovoltaic,4292.0
Utility-Scale Thermal,314.0
All Fuels (Utility-Scale),295315.0
Coal,90347.0
Petroleum Liquids,860.0
Petroleum Coke,694.0
Natural Gas,86834.0
Other Gases,352.0
Nuclear,66618.0
Conventional Hydroelectric,19758.0
Other Renewables,29741.0
Wind,22592.0
All Utility-Scale Solar,3174.0
Utility-Scale Photovoltaic,3043.0
Utility-Scale Thermal,131.0
Geothermal,1305.0
Biomass,2670.0
Hydro-Electric Pumped Storage,-478.0
Other,588.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3174.0
Utility-Scale Photovoltaic,3043.0
Utility-Scale Thermal,131.0
All Fuels (Utility-Scale),336505.0
Coal,105860.0
Petroleum Liquids,1880.0
Petroleum Coke,678.0
Natural Gas,102455.0
Other Gases,383.0
Nuclear,73700.0
Conventional Hydroelectric,22136.0
Other Renewables,29434.0
Wind,22179.0
All Utility-Scale Solar,3006.0
Utility-Scale Photovoltaic,2884.0
Utility-Scale Thermal,123.0
Geothermal,1381.0
Biomass,2868.0
Hydro-Electric Pumped Storage,-656.0
Other,636.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3006.0
Utility-Scale Photovoltaic,2884.0
Utility-Scale Thermal,123.0
All Fuels (Utility-Scale),359449.0
Coal,118557.0
Petroleum Liquids,5442.0
Petroleum Coke,906.0
Natural Gas,101469.0
Other Gases,344.0
Nuclear,74649.0
Conventional Hydroelectric,24962.0
Other Renewables,33052.0
Wind,25570.0
All Utility-Scale Solar,3288.0
Utility-Scale Photovoltaic,3160.0
Utility-Scale Thermal,128.0
Geothermal,1341.0
Biomass,2852.0
Hydro-Electric Pumped Storage,-547.0
Other,615.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3288.0
Utility-Scale Photovoltaic,3160.0
Utility-Scale Thermal,128.0
All Fuels (Utility-Scale),294633.0
Coal,81399.0
Petroleum Liquids,750.0
Petroleum Coke,701.0
Natural Gas,90702.0
Other Gases,337.0
Nuclear,64790.0
Conventional Hydroelectric,24794.0
Other Renewables,30894.0
Wind,23165.0
All Utility-Scale Solar,3863.0
Utility-Scale Photovoltaic,3672.0
Utility-Scale Thermal,191.0
Geothermal,1274.0
Biomass,2593.0
Hydro-Electric Pumped Storage,-315.0
Other,582.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3863.0
Utility-Scale Photovoltaic,3672.0
Utility-Scale Thermal,191.0
All Fuels (Utility-Scale),308747.0
Coal,79983.0
Petroleum Liquids,781.0
Petroleum Coke,587.0
Natural Gas,98597.0
Other Gases,348.0
Nuclear,67033.0
Conventional Hydroelectric,25752.0
Other Renewables,35545.0
Wind,26435.0
All Utility-Scale Solar,5009.0
Utility-Scale Photovoltaic,4752.0
Utility-Scale Thermal,258.0
Geothermal,1367.0
Biomass,2734.0
Hydro-Electric Pumped Storage,-490.0
Other,612.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5009.0
Utility-Scale Photovoltaic,4752.0
Utility-Scale Thermal,258.0
All Fuels (Utility-Scale),288509.0
Coal,72787.0
Petroleum Liquids,832.0
Petroleum Coke,615.0
Natural Gas,90614.0
Other Gases,354.0
Nuclear,59133.0
Conventional Hydroelectric,27990.0
Other Renewables,35995.0
Wind,26406.0
All Utility-Scale Solar,6002.0
Utility-Scale Photovoltaic,5688.0
Utility-Scale Thermal,314.0
Geothermal,1188.0
Biomass,2398.0
Hydro-Electric Pumped Storage,-377.0
Other,566.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6002.0
Utility-Scale Photovoltaic,5688.0
Utility-Scale Thermal,314.0
All Fuels (Utility-Scale),325905.0
Coal,84634.0
Petroleum Liquids,993.0
Petroleum Coke,460.0
Natural Gas,107014.0
Other Gases,389.0
Nuclear,67320.0
Conventional Hydroelectric,30319.0
Other Renewables,34595.0
Wind,23932.0
All Utility-Scale Solar,6788.0
Utility-Scale Photovoltaic,6358.0
Utility-Scale Thermal,430.0
Geothermal,1383.0
Biomass,2493.0
Hydro-Electric Pumped Storage,-390.0
Other,571.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6788.0
Utility-Scale Photovoltaic,6358.0
Utility-Scale Thermal,430.0
All Fuels (Utility-Scale),358523.0
Coal,100894.0
Petroleum Liquids,1025.0
Petroleum Coke,770.0
Natural Gas,122172.0
Other Gases,316.0
Nuclear,69688.0
Conventional Hydroelectric,27502.0
Other Renewables,35959.0
Wind,24683.0
All Utility-Scale Solar,7347.0
Utility-Scale Photovoltaic,6831.0
Utility-Scale Thermal,517.0
Geothermal,1300.0
Biomass,2628.0
Hydro-Electric Pumped Storage,-433.0
Other,632.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7347.0
Utility-Scale Photovoltaic,6831.0
Utility-Scale Thermal,517.0
All Fuels (Utility-Scale),396854.0
Coal,114749.0
Petroleum Liquids,928.0
Petroleum Coke,855.0
Natural Gas,155264.0
Other Gases,359.0
Nuclear,72456.0
Conventional Hydroelectric,25003.0
Other Renewables,27244.0
Wind,16432.0
All Utility-Scale Solar,6691.0
Utility-Scale Photovoltaic,6311.0
Utility-Scale Thermal,380.0
Geothermal,1370.0
Biomass,2751.0
Hydro-Electric Pumped Storage,-644.0
Other,640.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6691.0
Utility-Scale Photovoltaic,6311.0
Utility-Scale Thermal,380.0
All Fuels (Utility-Scale),393497.0
Coal,114516.0
Petroleum Liquids,1004.0
Petroleum Coke,825.0
Natural Gas,152150.0
Other Gases,392.0
Nuclear,72282.0
Conventional Hydroelectric,21908.0
Other Renewables,30531.0
Wind,19830.0
All Utility-Scale Solar,6634.0
Utility-Scale Photovoltaic,6224.0
Utility-Scale Thermal,409.0
Geothermal,1367.0
Biomass,2700.0
Hydro-Electric Pumped Storage,-747.0
Other,635.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6634.0
Utility-Scale Photovoltaic,6224.0
Utility-Scale Thermal,409.0
All Fuels (Utility-Scale),342917.0
Coal,95962.0
Petroleum Liquids,1014.0
Petroleum Coke,748.0
Natural Gas,132992.0
Other Gases,332.0
Nuclear,64725.0
Conventional Hydroelectric,19060.0
Other Renewables,28126.0
Wind,18502.0
All Utility-Scale Solar,5911.0
Utility-Scale Photovoltaic,5481.0
Utility-Scale Thermal,430.0
Geothermal,1328.0
Biomass,2385.0
Hydro-Electric Pumped Storage,-603.0
Other,562.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5911.0
Utility-Scale Photovoltaic,5481.0
Utility-Scale Thermal,430.0
All Fuels (Utility-Scale),311750.0
Coal,86736.0
Petroleum Liquids,969.0
Petroleum Coke,504.0
Natural Gas,114533.0
Other Gases,254.0
Nuclear,59397.0
Conventional Hydroelectric,19426.0
Other Renewables,29823.0
Wind,21170.0
All Utility-Scale Solar,4926.0
Utility-Scale Photovoltaic,4652.0
Utility-Scale Thermal,275.0
Geothermal,1273.0
Biomass,2454.0
Hydro-Electric Pumped Storage,-492.0
Other,600.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4926.0
Utility-Scale Photovoltaic,4652.0
Utility-Scale Thermal,275.0
All Fuels (Utility-Scale),309062.0
Coal,92258.0
Petroleum Liquids,948.0
Petroleum Coke,617.0
Natural Gas,99419.0
Other Gases,311.0
Nuclear,63954.0
Conventional Hydroelectric,21781.0
Other Renewables,29516.0
Wind,21991.0
All Utility-Scale Solar,3711.0
Utility-Scale Photovoltaic,3543.0
Utility-Scale Thermal,168.0
Geothermal,1331.0
Biomass,2484.0
Hydro-Electric Pumped Storage,-343.0
Other,601.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3711.0
Utility-Scale Photovoltaic,3543.0
Utility-Scale Thermal,168.0
All Fuels (Utility-Scale),328320.0
Coal,99698.0
Petroleum Liquids,911.0
Petroleum Coke,745.0
Natural Gas,100896.0
Other Gases,349.0
Nuclear,71657.0
Conventional Hydroelectric,22651.0
Other Renewables,31312.0
Wind,24282.0
All Utility-Scale Solar,3083.0
Utility-Scale Photovoltaic,2991.0
Utility-Scale Thermal,92.0
Geothermal,1413.0
Biomass,2535.0
Hydro-Electric Pumped Storage,-522.0
Other,623.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3083.0
Utility-Scale Photovoltaic,2991.0
Utility-Scale Thermal,92.0
All Fuels (Utility-Scale),345324.0
Coal,100294.0
Petroleum Liquids,1346.0
Petroleum Coke,758.0
Natural Gas,112144.0
Other Gases,360.0
Nuclear,73701.0
Conventional Hydroelectric,24658.0
Other Renewables,31719.0
Wind,24273.0
All Utility-Scale Solar,3546.0
Utility-Scale Photovoltaic,3436.0
Utility-Scale Thermal,111.0
Geothermal,1348.0
Biomass,2552.0
Hydro-Electric Pumped Storage,-323.0
Other,666.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3546.0
Utility-Scale Photovoltaic,3436.0
Utility-Scale Thermal,111.0
All Fuels (Utility-Scale),302635.0
Coal,79382.0
Petroleum Liquids,765.0
Petroleum Coke,655.0
Natural Gas,103949.0
Other Gases,351.0
Nuclear,64715.0
Conventional Hydroelectric,22772.0
Other Renewables,29861.0
Wind,22598.0
All Utility-Scale Solar,3798.0
Utility-Scale Photovoltaic,3666.0
Utility-Scale Thermal,131.0
Geothermal,1252.0
Biomass,2213.0
Hydro-Electric Pumped Storage,-389.0
Other,575.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3798.0
Utility-Scale Photovoltaic,3666.0
Utility-Scale Thermal,131.0
All Fuels (Utility-Scale),313385.0
Coal,77819.0
Petroleum Liquids,772.0
Petroleum Coke,536.0
Natural Gas,107124.0
Other Gases,383.0
Nuclear,65080.0
Conventional Hydroelectric,26208.0
Other Renewables,35269.0
Wind,25746.0
All Utility-Scale Solar,5841.0
Utility-Scale Photovoltaic,5581.0
Utility-Scale Thermal,260.0
Geothermal,1378.0
Biomass,2303.0
Hydro-Electric Pumped Storage,-409.0
Other,604.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5841.0
Utility-Scale Photovoltaic,5581.0
Utility-Scale Thermal,260.0
All Fuels (Utility-Scale),284309.0
Coal,59426.0
Petroleum Liquids,735.0
Petroleum Coke,355.0
Natural Gas,95861.0
Other Gases,329.0
Nuclear,60581.0
Conventional Hydroelectric,27695.0
Other Renewables,38851.0
Wind,28888.0
All Utility-Scale Solar,6690.0
Utility-Scale Photovoltaic,6365.0
Utility-Scale Thermal,325.0
Geothermal,1227.0
Biomass,2046.0
Hydro-Electric Pumped Storage,-103.0
Other,581.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6690.0
Utility-Scale Photovoltaic,6365.0
Utility-Scale Thermal,325.0
All Fuels (Utility-Scale),317498.0
Coal,71388.0
Petroleum Liquids,900.0
Petroleum Coke,697.0
Natural Gas,108445.0
Other Gases,324.0
Nuclear,67124.0
Conventional Hydroelectric,31857.0
Other Renewables,36468.0
Wind,25757.0
All Utility-Scale Solar,7095.0
Utility-Scale Photovoltaic,6759.0
Utility-Scale Thermal,336.0
Geothermal,1304.0
Biomass,2311.0
Hydro-Electric Pumped Storage,-368.0
Other,664.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7095.0
Utility-Scale Photovoltaic,6759.0
Utility-Scale Thermal,336.0
All Fuels (Utility-Scale),339709.0
Coal,78043.0
Petroleum Liquids,919.0
Petroleum Coke,516.0
Natural Gas,128930.0
Other Gases,329.0
Nuclear,68805.0
Conventional Hydroelectric,27965.0
Other Renewables,33940.0
Wind,22426.0
All Utility-Scale Solar,7898.0
Utility-Scale Photovoltaic,7459.0
Utility-Scale Thermal,439.0
Geothermal,1294.0
Biomass,2321.0
Hydro-Electric Pumped Storage,-385.0
Other,649.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7898.0
Utility-Scale Photovoltaic,7459.0
Utility-Scale Thermal,439.0
All Fuels (Utility-Scale),395547.0
Coal,100225.0
Petroleum Liquids,967.0
Petroleum Coke,685.0
Natural Gas,162249.0
Other Gases,372.0
Nuclear,72199.0
Conventional Hydroelectric,24788.0
Other Renewables,34013.0
Wind,22084.0
All Utility-Scale Solar,8053.0
Utility-Scale Photovoltaic,7653.0
Utility-Scale Thermal,400.0
Geothermal,1342.0
Biomass,2534.0
Hydro-Electric Pumped Storage,-622.0
Other,671.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,8053.0
Utility-Scale Photovoltaic,7653.0
Utility-Scale Thermal,400.0
All Fuels (Utility-Scale),386904.0
Coal,93517.0
Petroleum Liquids,1002.0
Petroleum Coke,634.0
Natural Gas,165140.0
Other Gases,377.0
Nuclear,71911.0
Conventional Hydroelectric,22504.0
Other Renewables,31694.0
Wind,19964.0
All Utility-Scale Solar,7803.0
Utility-Scale Photovoltaic,7390.0
Utility-Scale Thermal,413.0
Geothermal,1362.0
Biomass,2565.0
Hydro-Electric Pumped Storage,-579.0
Other,704.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7803.0
Utility-Scale Photovoltaic,7390.0
Utility-Scale Thermal,413.0
All Fuels (Utility-Scale),346894.0
Coal,85216.0
Petroleum Liquids,880.0
Petroleum Coke,537.0
Natural Gas,140483.0
Other Gases,342.0
Nuclear,66064.0
Conventional Hydroelectric,18461.0
Other Renewables,34934.0
Wind,24494.0
All Utility-Scale Solar,6754.0
Utility-Scale Photovoltaic,6460.0
Utility-Scale Thermal,294.0
Geothermal,1338.0
Biomass,2348.0
Hydro-Electric Pumped Storage,-671.0
Other,649.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6754.0
Utility-Scale Photovoltaic,6460.0
Utility-Scale Thermal,294.0
All Fuels (Utility-Scale),306999.0
Coal,66311.0
Petroleum Liquids,901.0
Petroleum Coke,156.0
Natural Gas,121934.0
Other Gases,189.0
Nuclear,62033.0
Conventional Hydroelectric,18232.0
Other Renewables,36975.0
Wind,27599.0
All Utility-Scale Solar,6040.0
Utility-Scale Photovoltaic,5742.0
Utility-Scale Thermal,298.0
Geothermal,1103.0
Biomass,2233.0
Hydro-Electric Pumped Storage,-373.0
Other,641.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6040.0
Utility-Scale Photovoltaic,5742.0
Utility-Scale Thermal,298.0
All Fuels (Utility-Scale),302253.0
Coal,75046.0
Petroleum Liquids,853.0
Petroleum Coke,292.0
Natural Gas,108683.0
Other Gases,326.0
Nuclear,64125.0
Conventional Hydroelectric,20139.0
Other Renewables,32669.0
Wind,25160.0
All Utility-Scale Solar,4323.0
Utility-Scale Photovoltaic,4182.0
Utility-Scale Thermal,141.0
Geothermal,941.0
Biomass,2245.0
Hydro-Electric Pumped Storage,-509.0
Other,628.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4323.0
Utility-Scale Photovoltaic,4182.0
Utility-Scale Thermal,141.0
All Fuels (Utility-Scale),324174.0
Coal,72065.0
Petroleum Liquids,943.0
Petroleum Coke,417.0
Natural Gas,122198.0
Other Gases,354.0
Nuclear,73074.0
Conventional Hydroelectric,21374.0
Other Renewables,33620.0
Wind,26616.0
All Utility-Scale Solar,3423.0
Utility-Scale Photovoltaic,3353.0
Utility-Scale Thermal,70.0
Geothermal,1140.0
Biomass,2440.0
Hydro-Electric Pumped Storage,-529.0
Other,658.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,3423.0
Utility-Scale Photovoltaic,3353.0
Utility-Scale Thermal,70.0
All Fuels (Utility-Scale),326217.0
Coal,64548.0
Petroleum Liquids,908.0
Petroleum Coke,606.0
Natural Gas,123298.0
Other Gases,354.0
Nuclear,74170.0
Conventional Hydroelectric,25222.0
Other Renewables,36840.0
Wind,28520.0
All Utility-Scale Solar,4615.0
Utility-Scale Photovoltaic,4500.0
Utility-Scale Thermal,116.0
Geothermal,1229.0
Biomass,2475.0
Hydro-Electric Pumped Storage,-377.0
Other,649.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,4615.0
Utility-Scale Photovoltaic,4500.0
Utility-Scale Thermal,116.0
All Fuels (Utility-Scale),304885.0
Coal,55590.0
Petroleum Liquids,719.0
Petroleum Coke,459.0
Natural Gas,116654.0
Other Gases,370.0
Nuclear,65950.0
Conventional Hydroelectric,26260.0
Other Renewables,38546.0
Wind,29368.0
All Utility-Scale Solar,5657.0
Utility-Scale Photovoltaic,5478.0
Utility-Scale Thermal,179.0
Geothermal,1233.0
Biomass,2288.0
Hydro-Electric Pumped Storage,-247.0
Other,584.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5657.0
Utility-Scale Photovoltaic,5478.0
Utility-Scale Thermal,179.0
All Fuels (Utility-Scale),294084.0
Coal,50145.0
Petroleum Liquids,671.0
Petroleum Coke,635.0
Natural Gas,114766.0
Other Gases,288.0
Nuclear,63997.0
Conventional Hydroelectric,23483.0
Other Renewables,39791.0
Wind,29496.0
All Utility-Scale Solar,6436.0
Utility-Scale Photovoltaic,6243.0
Utility-Scale Thermal,193.0
Geothermal,1473.0
Biomass,2386.0
Hydro-Electric Pumped Storage,-353.0
Other,662.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,6436.0
Utility-Scale Photovoltaic,6243.0
Utility-Scale Thermal,193.0
All Fuels (Utility-Scale),264054.0
Coal,40189.0
Petroleum Liquids,597.0
Petroleum Coke,560.0
Natural Gas,100048.0
Other Gases,150.0
Nuclear,59170.0
Conventional Hydroelectric,22002.0
Other Renewables,41036.0
Wind,29386.0
All Utility-Scale Solar,8052.0
Utility-Scale Photovoltaic,7746.0
Utility-Scale Thermal,306.0
Geothermal,1410.0
Biomass,2187.0
Hydro-Electric Pumped Storage,-325.0
Other,629.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,8052.0
Utility-Scale Photovoltaic,7746.0
Utility-Scale Thermal,306.0
All Fuels (Utility-Scale),291979.0
Coal,46094.0
Petroleum Liquids,664.0
Petroleum Coke,546.0
Natural Gas,107853.0
Other Gases,161.0
Nuclear,64338.0
Conventional Hydroelectric,30367.0
Other Renewables,41698.0
Wind,28282.0
All Utility-Scale Solar,9679.0
Utility-Scale Photovoltaic,9266.0
Utility-Scale Thermal,413.0
Geothermal,1411.0
Biomass,2326.0
Hydro-Electric Pumped Storage,-367.0
Other,626.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,9679.0
Utility-Scale Photovoltaic,9266.0
Utility-Scale Thermal,413.0
All Fuels (Utility-Scale),340019.0
Coal,64920.0
Petroleum Liquids,819.0
Petroleum Coke,757.0
Natural Gas,134669.0
Other Gases,133.0
Nuclear,67205.0
Conventional Hydroelectric,28950.0
Other Renewables,42492.0
Wind,29446.0
All Utility-Scale Solar,9555.0
Utility-Scale Photovoltaic,9184.0
Utility-Scale Thermal,371.0
Geothermal,1338.0
Biomass,2154.0
Hydro-Electric Pumped Storage,-499.0
Other,572.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,9555.0
Utility-Scale Photovoltaic,9184.0
Utility-Scale Thermal,371.0
All Fuels (Utility-Scale),400737.0
Coal,89368.0
Petroleum Liquids,916.0
Petroleum Coke,775.0
Natural Gas,176293.0
Other Gases,162.0
Nuclear,69385.0
Conventional Hydroelectric,27571.0
Other Renewables,36307.0
Wind,22186.0
All Utility-Scale Solar,10386.0
Utility-Scale Photovoltaic,9956.0
Utility-Scale Thermal,430.0
Geothermal,1404.0
Biomass,2331.0
Hydro-Electric Pumped Storage,-686.0
Other,646.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,10386.0
Utility-Scale Photovoltaic,9956.0
Utility-Scale Thermal,430.0
All Fuels (Utility-Scale),386013.0
Coal,90814.0
Petroleum Liquids,883.0
Petroleum Coke,725.0
Natural Gas,164758.0
Other Gases,303.0
Nuclear,68982.0
Conventional Hydroelectric,23985.0
Other Renewables,35692.0
Wind,22341.0
All Utility-Scale Solar,9428.0
Utility-Scale Photovoltaic,9071.0
Utility-Scale Thermal,356.0
Geothermal,1400.0
Biomass,2524.0
Hydro-Electric Pumped Storage,-784.0
Other,653.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,9428.0
Utility-Scale Photovoltaic,9071.0
Utility-Scale Thermal,356.0
All Fuels (Utility-Scale),321755.0
Coal,67978.0
Petroleum Liquids,758.0
Petroleum Coke,412.0
Natural Gas,133123.0
Other Gases,297.0
Nuclear,65727.0
Conventional Hydroelectric,19076.0
Other Renewables,34314.0
Wind,22977.0
All Utility-Scale Solar,7824.0
Utility-Scale Photovoltaic,7554.0
Utility-Scale Thermal,270.0
Geothermal,1359.0
Biomass,2154.0
Hydro-Electric Pumped Storage,-525.0
Other,595.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7824.0
Utility-Scale Photovoltaic,7554.0
Utility-Scale Thermal,270.0
All Fuels (Utility-Scale),301722.0
Coal,59440.0
Petroleum Liquids,861.0
Petroleum Coke,278.0
Natural Gas,123640.0
Other Gases,238.0
Nuclear,59362.0
Conventional Hydroelectric,18237.0
Other Renewables,39494.0
Wind,28770.0
All Utility-Scale Solar,7284.0
Utility-Scale Photovoltaic,7025.0
Utility-Scale Thermal,259.0
Geothermal,1341.0
Biomass,2099.0
Hydro-Electric Pumped Storage,-423.0
Other,594.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,7284.0
Utility-Scale Photovoltaic,7025.0
Utility-Scale Thermal,259.0
All Fuels (Utility-Scale),290110.0
Coal,60896.0
Petroleum Liquids,761.0
Petroleum Coke,589.0
Natural Gas,100783.0
Other Gases,306.0
Nuclear,61760.0
Conventional Hydroelectric,21736.0
Other Renewables,43050.0
Wind,33582.0
All Utility-Scale Solar,5845.0
Utility-Scale Photovoltaic,5681.0
Utility-Scale Thermal,164.0
Geothermal,1448.0
Biomass,2175.0
Hydro-Electric Pumped Storage,-369.0
Other,598.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5845.0
Utility-Scale Photovoltaic,5681.0
Utility-Scale Thermal,164.0
All Fuels (Utility-Scale),331059.0
Coal,78215.0
Petroleum Liquids,868.0
Petroleum Coke,689.0
Natural Gas,116315.0
Other Gases,337.0
Nuclear,69871.0
Conventional Hydroelectric,22981.0
Other Renewables,41486.0
Wind,32329.0
All Utility-Scale Solar,5338.0
Utility-Scale Photovoltaic,5246.0
Utility-Scale Thermal,92.0
Geothermal,1434.0
Biomass,2385.0
Hydro-Electric Pumped Storage,-368.0
Other,665.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,5338.0
Utility-Scale Photovoltaic,5246.0
Utility-Scale Thermal,92.0
