United States Power Source,Energy Production (Thousand Megawatthours)
Hydro-Electric Pumped Storage,-458.0
Other,638.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,103.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,25.0
All Fuels (Utility-Scale),322225.0
Coal,131686.0
Petroleum Liquids,1118.0
Petroleum Coke,907.0
Natural Gas,78193.0
Other Gases,247.0
Nuclear,71837.0
Conventional Hydroelectric,23552.0
Other Renewables,14504.0
Wind,10649.0
All Utility-Scale Solar,117.0
Utility-Scale Photovoltaic,97.0
Utility-Scale Thermal,20.0
Geothermal,1324.0
Biomass,2414.0
Hydro-Electric Pumped Storage,-509.0
Other,689.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,117.0
Utility-Scale Photovoltaic,97.0
Utility-Scale Thermal,20.0
All Fuels (Utility-Scale),326185.0
Coal,127874.0
Petroleum Liquids,1083.0
Petroleum Coke,1050.0
Natural Gas,83122.0
Other Gases,263.0
Nuclear,72381.0
Conventional Hydroelectric,22830.0
Other Renewables,17302.0
Wind,13623.0
All Utility-Scale Solar,91.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,13.0
Geothermal,1263.0
Biomass,2325.0
Hydro-Electric Pumped Storage,-348.0
Other,630.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,91.0
Utility-Scale Photovoltaic,78.0
Utility-Scale Thermal,13.0
All Fuels (Utility-Scale),296790.0
Coal,112774.0
Petroleum Liquids,846.0
Petroleum Coke,826.0
Natural Gas,83308.0
Other Gases,256.0
Nuclear,63847.0
Conventional Hydroelectric,20041.0
Other Renewables,14530.0
Wind,11045.0
All Utility-Scale Solar,129.0
Utility-Scale Photovoltaic,100.0
Utility-Scale Thermal,29.0
Geothermal,1193.0
Biomass,2162.0
Hydro-Electric Pumped Storage,-237.0
Other,599.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,129.0
Utility-Scale Photovoltaic,100.0
Utility-Scale Thermal,29.0
All Fuels (Utility-Scale),296497.0
Coal,104410.0
Petroleum Liquids,910.0
Petroleum Coke,393.0
Natural Gas,85001.0
Other Gases,261.0
Nuclear,61729.0
Conventional Hydroelectric,25670.0
Other Renewables,17773.0
Wind,14020.0
All Utility-Scale Solar,221.0
Utility-Scale Photovoltaic,153.0
Utility-Scale Thermal,68.0
Geothermal,1285.0
Biomass,2246.0
Hydro-Electric Pumped Storage,-281.0
Other,630.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,221.0
Utility-Scale Photovoltaic,153.0
Utility-Scale Thermal,68.0
All Fuels (Utility-Scale),283183.0
Coal,95284.0
Petroleum Liquids,907.0
Petroleum Coke,380.0
Natural Gas,87748.0
Other Gases,254.0
Nuclear,55871.0
Conventional Hydroelectric,26115.0
Other Renewables,16288.0
Wind,12702.0
All Utility-Scale Solar,305.0
Utility-Scale Photovoltaic,209.0
Utility-Scale Thermal,96.0
Geothermal,1248.0
Biomass,2033.0
Hydro-Electric Pumped Storage,-265.0
Other,601.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,305.0
Utility-Scale Photovoltaic,209.0
Utility-Scale Thermal,96.0
All Fuels (Utility-Scale),323598.0
Coal,114930.0
Petroleum Liquids,1026.0
Petroleum Coke,501.0
Natural Gas,99625.0
Other Gases,244.0
Nuclear,62081.0
Conventional Hydroelectric,28426.0
Other Renewables,16483.0
Wind,12535.0
All Utility-Scale Solar,445.0
Utility-Scale Photovoltaic,320.0
Utility-Scale Thermal,125.0
Geothermal,1304.0
Biomass,2199.0
Hydro-Electric Pumped Storage,-371.0
Other,652.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,445.0
Utility-Scale Photovoltaic,320.0
Utility-Scale Thermal,125.0
All Fuels (Utility-Scale),347759.0
Coal,130147.0
Petroleum Liquids,1248.0
Petroleum Coke,592.0
Natural Gas,107685.0
Other Gases,253.0
Nuclear,65140.0
Conventional Hydroelectric,26481.0
Other Renewables,16056.0
Wind,11967.0
All Utility-Scale Solar,508.0
Utility-Scale Photovoltaic,372.0
Utility-Scale Thermal,136.0
Geothermal,1277.0
Biomass,2304.0
Hydro-Electric Pumped Storage,-507.0
Other,664.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,508.0
Utility-Scale Photovoltaic,372.0
Utility-Scale Thermal,136.0
All Fuels (Utility-Scale),400316.0
Coal,159178.0
Petroleum Liquids,1473.0
Petroleum Coke,614.0
Natural Gas,130133.0
Other Gases,266.0
Nuclear,69129.0
Conventional Hydroelectric,26352.0
Other Renewables,13122.0
Wind,8819.0
All Utility-Scale Solar,492.0
Utility-Scale Photovoltaic,374.0
Utility-Scale Thermal,117.0
Geothermal,1321.0
Biomass,2491.0
Hydro-Electric Pumped Storage,-619.0
Other,668.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,492.0
Utility-Scale Photovoltaic,374.0
Utility-Scale Thermal,117.0
All Fuels (Utility-Scale),381494.0
Coal,150941.0
Petroleum Liquids,1141.0
Petroleum Coke,680.0
Natural Gas,123160.0
Other Gases,266.0
Nuclear,69602.0
Conventional Hydroelectric,22880.0
Other Renewables,12706.0
Wind,8466.0
All Utility-Scale Solar,445.0
Utility-Scale Photovoltaic,352.0
Utility-Scale Thermal,93.0
Geothermal,1304.0
Biomass,2492.0
Hydro-Electric Pumped Storage,-529.0
Other,647.0
All Solar,0.0
Small-Scale Solar Photovoltaic,0.0
All Utility-Scale Solar,445.0
Utility-Scale Photovoltaic,352.0
Utility-Scale Thermal,93.0
All Fuels (Utility-Scale),321586.0
Coal,124496.0
Petroleum Liquids,924.0
Petroleum Coke,672.0
Natural Gas,100267.0
Other Gases,232.0
Nuclear,64511.0
Conventional Hydroelectric,17443.0
Other Renewables,12835.0
Wind,8785.0
All Utility-Scale Solar,439.0
Utility-Scale Photovoltaic,354.0
Utility-Scale Thermal,85.0
Geothermal,1300.0
Biomass,2311.0
